Gene	Num
PCDHA13	5
COL21A1	5
ACSS3	5
IGF2R	5
PCDH18	5
LRRC4C	5
ADAMTS16	5
ZNF585B	5
ESPL1	5
RBMXL3	5
KIF26B	5
ZDBF2	5
CAD	5
PPL	5
CEP350	5
MKI67	5
ABCA10	5
SYNE3	5
ADGRE1	5
EFCAB8	5
NID1	5
BRD4	5
NBAS	5
NCOA2	5
PCDHB8	5
SALL3	5
NPBWR2	5
ARID1B	5
ST18	5
SSPO	5
ZNF461	5
LZTR1	5
MSH6	5
OLFML2B	5
KDM6A	5
VCL	5
ALPK3	5
XKR4	5
BZRAP1	5
ATP8B3	5
PRRC2C	5
SPTBN2	5
ZC3H13	5
HDAC4	5
AHNAK	5
JAG2	5
DGKK	5
PTCHD2	5
LRRK1	5
ZBED9	5
RIMS2	5
ZNF679	5
CCDC7	5
ACAN	5
SNAI2	5
CHD8	5
RTL1	5
ACACB	5
ELMO1	5
PCDHB14	5
PTEN	5
RPL10L	5
AUTS2	4
ATR	4
MROH5	4
ATAD2	4
HCRTR2	4
MASP1	4
MED13L	4
DHX8	4
ZNRF4	4
KIF1A	4
DCLRE1A	4
VSX2	4
ABCC5	4
ABCC12	4
ADAM29	4
NCAM1	4
UBA6	4
FAP	4
KCNU1	4
SHANK2	4
SDK2	4
PROS1	4
FLRT2	4
TPTE2	4
CHD1	4
NFASC	4
CYP7B1	4
UBR5	4
LRRC6	4
SSH2	4
NFATC2	4
MASTL	4
SOCS5	4
HCAR2	4
ETAA1	4
ECE2	4
SORBS2	4
PASD1	4
DCLK2	4
KANSL1	4
FAM155A	4
SLITRK1	4
MYBPC3	4
ABCA3	4
NRXN1	4
SVEP1	4
AOC3	4
SYCP2	4
ADAM7	4
MME	4
SMYD1	4
LRRC37A3	4
DIAPH3	4
CSF3R	4
ZNF257	4
TOPBP1	4
PRTG	4
CWF19L2	4
PRKD2	4
SF3B2	4
PCDHGA5	4
CPD	4
TBX5	4
RBM27	4
CEP295	4
SPECC1L	4
DACH2	4
HHIP	4
OR11H12	4
WDR72	4
DNAH6	4
OVCH1	4
SGK223	4
PRRT2	4
POLR1C	4
ZMYM3	4
CEP170	4
ITIH5	4
CAPN6	4
IKZF1	4
JMJD1C	4
KDM2B	4
GUCY2C	4
MBD5	4
GTF3C1	4
MARK1	4
SLC17A4	4
ZNF850	4
RBBP6	4
CNKSR2	4
DIO2	4
NOLC1	4
CCDC60	4
FER1L5	4
CHRD	4
PANK4	4
MFN2	4
DLGAP2	4
OR52N1	4
SLC9C2	4
MUC15	4
PLD5	4
SIM1	4
MYO3A	4
RERE	4
TLN1	4
OR2D3	4
ASPM	4
GRAMD4	4
NPBWR1	4
ZNF578	4
CCDC39	4
GLB1L3	4
RPS6KA6	4
SPHK2	4
KIAA0430	4
WT1	4
CACNA2D3	4
ZNF541	4
CLEC14A	4
LRPPRC	4
ZNF570	4
PCDHB15	4
NLRP4	4
CHST9	4
IGSF9	4
ZFC3H1	4
KCNH8	4
ABCA1	4
NTRK1	4
TET2	4
SCG2	4
EPAS1	4
CAMKK2	4
INPP5F	4
LATS2	4
ZNF99	4
MYH8	4
CACNA1G	4
ATP1A2	4
GUCY1A2	4
KIAA1211	4
PLEKHA6	4
GPR83	4
ACAP2	4
SLC17A6	4
ADCY9	4
OR6Y1	4
DOCK10	4
RALYL	4
XRRA1	4
RNF43	4
ABCB11	4
BTAF1	4
HIST1H1B	4
RANBP17	4
RBPJL	4
TEX14	4
GRAMD1B	4
COL24A1	4
AFF2	4
GPR52	4
MYB	4
CACNA1F	4
NBEAL2	4
CFAP44	4
RNPC3	4
ZFR2	4
CRMP1	4
PRAMEF15	4
AASDH	4
AGPS	4
CLCN2	4
PNLIPRP3	4
SUPT6H	4
NINL	4
CCDC88A	4
USP7	4
INO80D	4
NBPF9	4
KIAA2018	4
ADAD1	4
OR6K6	4
SUV420H1	4
RPUSD2	4
DSP	4
MBTPS2	4
ARHGEF15	4
MKL2	4
ZNF81	4
CPT1B	4
CFAP47	4
NDST3	4
OR4P4	4
ADGRG4	4
DLGAP5	4
RICTOR	4
IRX5	4
TECRL	4
VEGFC	4
ZNF676	4
ZCCHC11	4
HEPH	4
GRXCR1	4
OR8I2	4
ALDH1L1	4
PTPN13	4
LPIN3	4
GOLGA6L2	4
MMS22L	4
HECW1	4
NUP107	4
TBCEL	4
FAM71E2	4
ZMYM1	4
PLCE1	4
SOX5	4
PI4KA	4
PCNT	4
KIR2DL3	4
POTEH	4
CD163	4
NF1	4
ELFN2	4
OR8H3	4
LYST	4
POGZ	4
CDHR2	4
CDC42BPA	4
PRPF8	4
ATP2B2	4
OR13C2	4
OR5W2	4
ZNF677	4
IGSF3	4
KNDC1	4
TAF3	4
NWD2	4
ADAM18	4
KIF13A	4
NUP153	4
YLPM1	4
CFHR4	4
CHM	4
MATN2	4
CAPRIN1	4
CDK13	4
TRPM6	4
COL6A2	4
ASB12	4
GGT7	4
ANK1	4
ABCB5	4
ADAM19	4
CRISPLD1	4
ARHGEF17	4
NIN	4
NCAM2	4
ZNF518B	4
OTOF	4
COL4A6	4
OR4K14	4
SEMA3D	4
ZNF646	4
OR10R2	4
ANKRD11	4
MTR	4
ASXL2	4
ITGAV	4
PID1	4
CAMTA1	4
MDGA1	4
TMEM132B	4
CCDC108	4
NELL2	4
GRIA3	4
KIF4B	4
CHL1	4
RANBP2	4
PTPN14	4
RNF169	4
TDRD1	4
MAN2A2	4
LAMB4	4
FAM135A	4
RP11-1220K2.2	4
OPA1	4
PBRM1	4
NRXN2	4
CNOT1	4
ZNF234	4
DAAM2	4
SPTBN4	4
ITPR1	4
TRAPPC9	4
ADAMTS20	4
LRP5	4
CLEC16A	4
SON	4
ZIC1	4
ZNF407	4
CELSR2	4
KCNJ8	4
TRPM1	4
USP34	4
TBC1D8	4
AFF1	4
GK2	4
CDH6	4
RP1L1	4
KREMEN1	4
ELMSAN1	4
PCDHGB7	4
SPAG16	4
ZNF33A	4
ZCCHC5	4
EVC2	4
CUX2	4
PCNXL2	4
CYLC2	4
IRX6	4
FCRL5	4
ZFP42	4
PDHA2	4
COL14A1	4
BSN	4
COLEC12	4
ZNF429	4
FSHR	4
CHRM3	4
SEMA3A	4
ARHGEF18	4
PCDHB4	4
NRK	4
ZEB2	4
HSPA12A	4
ZC3H12B	4
CPSF1	4
RXFP1	4
GBP1	4
SPTBN5	4
CPAMD8	4
NAV1	4
UBQLN2	4
PCDHB12	4
MECOM	4
PRAMEF17	4
PARD3	4
ACTN3	4
SENP6	4
GALNT13	4
MEGF8	4
PRAMEF2	4
PAN3	4
SLCO1B1	4
PRKG2	4
TET1	4
IRF4	4
PCDHGB3	4
CCER1	4
PHF21B	4
RUNX1T1	4
UGGT1	4
HEATR4	4
DHX9	4
MAST1	4
DGKB	4
FGF13	4
NOTCH4	4
PRRC2A	4
XRN1	4
C10orf76	4
TMPRSS9	4
TDRD6	4
NEGR1	4
FER1L6	4
PIK3R1	4
TEX11	4
TEK	4
MICAL3	4
PPP2R1A	4
SMG7	4
ERBB2IP	4
NOD2	4
NOS1	4
ARHGAP35	4
