id	filename	md5	size	state
2bf2895f-de39-4fb3-9043-bfeb0c46cda1	780d954e-ea96-41ea-9eed-1891e894f45c.FPKM.txt.gz	cb9404b631877a8925e63cc5edca156d	560662	validated
2c581af7-da45-4072-bd89-e61e28ddafb1	987f8069-ca25-4f86-938f-98f963fd5bf0.FPKM.txt.gz	f0e3971ff6cdd8e32c3710c8a1b1c104	574309	validated
2ecd87d7-6070-4c8e-b10f-2c4a505c5242	3da052da-d6f9-413e-a815-f758261cb314.FPKM.txt.gz	6f81ef2bfa4c165fa60867345fdeac1c	585589	validated
3273e6f6-8ebd-490f-970a-73ab2d135680	8ea27ed4-5bec-4521-b9ff-7f2379aeeb9a.FPKM.txt.gz	5d17981663e4a3251beabb2e22226391	578088	validated
3418d3c0-7488-4492-ab67-2c6ae0b580fa	c1a0a479-2801-44a2-b691-1d156a3e5f34.FPKM.txt.gz	66c2d50c8baeb2be4293b06865e0bfb9	532509	validated
34ecd136-be4d-4131-bfb3-816bd77b7bef	ef53264e-cf1b-417d-a985-c54ff4ef6026.FPKM.txt.gz	199eb0183f45b61401c84594c115cc0f	556354	validated
36f27be7-5728-4899-bc8c-a230ea44aa13	417905dc-5fb3-45c4-8bf1-408e19b969da.FPKM.txt.gz	db7eaaa2a1526434d3b496e764413075	563355	validated
3867d3b6-01c6-4f10-9386-025c21364ac1	7ac11391-59f5-411e-afbb-9541f556ff44.FPKM.txt.gz	5cfc31ee7c9805d9c6935b1b8ccb54e3	550897	validated
402a2ce8-2ecf-407b-a3cb-b2e06941f5a0	7092d542-6a1b-4d6f-8734-8472a72dfe66.FPKM.txt.gz	5c501cc12727dd66416816c37016a77e	558285	validated
41748e25-c96c-4d51-9ea1-7bef7a7772e2	61a0320d-aafa-4363-b1c6-80a07b359774.FPKM.txt.gz	9740a08b26786a76d8d07e4c12d91a2b	584452	validated
41e682da-0d6a-4366-81a9-ab249ecda5ee	461dd696-2381-4084-b56c-96c5d7d73cf7.FPKM.txt.gz	b415580d224a6361880100dc2a13346e	549813	validated
4216b349-8d46-4cc1-8370-5e77a2a3d7e8	056e323e-a25f-4699-bf84-75ba9c32fd16.FPKM.txt.gz	f6194222c58845c24bb820e9ebc27869	559232	validated
4262ec31-0917-4abd-9a6f-7696cfb576f6	4706b7ab-9e0b-4729-9f15-53049667d822.FPKM.txt.gz	8ac35c5a94b5e07efb67f7aea02f992a	575346	validated
45833a2e-a104-4ae7-ad4b-c9387d718037	134c413b-57dd-4d6e-9a67-ba4780b0e758.FPKM.txt.gz	14fb1ff0ee22496e214e81f51e64233c	563689	validated
45c6bc3c-30c9-4ee0-a3fc-0be01bf5f055	b665d621-29b2-4b27-8168-9edc0a4e0958.FPKM.txt.gz	b6695efe0c833c88aa6c45237952d28a	563943	validated
47b828ef-38ed-45f9-84ae-fd254ee3d1a5	5f0ace89-9e0b-49a3-9671-a463db271121.FPKM.txt.gz	f74458044212c69a9bbe73905eff6c88	574402	validated
495ad11f-2953-4d92-833d-8c68f3f38f83	f34e8844-03a2-4c63-9825-b48721027f45.FPKM.txt.gz	14d44775a527759466ee6f85ea24a16e	606918	validated
